Interface,Com,Type,Control Name,Command,"Initial
Freq_Initial","Status_On
Freq_Min","Remark_On
Freq_Max","Status_Off
Freq_Step","Remark_Off
Duty_Initial",Duty_Min,Duty_Max,Duty_Step,Remark
AutoKit_GPIO,,Icon10,Power Status,,1,1,Power on,0,Power off,,,,
AutoKit_RS232,,oneBar,Volume,,2,0,100,1,,,,,
AutoKit_GPIO,,Icon10,Mute,,3,1,Mute,0,Unmute,,,,
AutoKit_RS232,,oneBar,Video Source,,4,0,255,1,,,,,
AutoKit_RS232,,oneBar,Contrast Ratio,,5,10,50,1,,,,,
AutoKit_RS232,,oneBar,Brightness,,6,0,100,1,,,,,
AutoKit_RS232,,oneBar,Color Termperature,,7,0,4,1,,,,,
AutoKit_GPIO,,Icon10,Anti Burn-in,,8,1,ON,0,OFF,,,,
AutoKit_GPIO,,Icon10,power saving,,9,1,Enable,0,Closed,,,,
AutoKit_GPIO,,Icon10,Auto Dimming,,0B,1,auto dimming by lux table,0,manual dimming,,,,
AutoKit_GPIO,,Icon10,Test pattern,,0D,1,on,0,off,,,,
AutoKit_RS232,,oneBar,ADC value,,0E,0,255,1,,,,,
AutoKit_RS232,,oneBar,Temperature value,,0F,0,255,1,,,,,
AutoKit_RS232,,oneBar,11500k/9300k R gain,,10,0,255,1,,,,,
AutoKit_RS232,,oneBar,11500k/9300k G gain,,11,0,255,1,,,,,
AutoKit_RS232,,oneBar,11500k/9300k B gain,,12,0,255,1,,,,,
AutoKit_RS232,,oneBar,9300k/6500k R gain,,13,0,255,1,,,,,
AutoKit_RS232,,oneBar,9300k/6500k G gain,,14,0,255,1,,,,,
AutoKit_RS232,,oneBar,9300k/6500k B gain,,15,0,255,1,,,,,
AutoKit_RS232,,oneBar,6500k/5800k R gain,,16,0,255,1,,,,,
AutoKit_RS232,,oneBar,6500k/5800k G gain,,17,0,255,1,,,,,
AutoKit_RS232,,oneBar,6500k/5800k B gain,,18,0,255,1,,,,,
AutoKit_RS232,,oneBar,sRGB R gain,,19,0,255,1,,,,,
AutoKit_RS232,,oneBar,sRGB G gain,,1A,0,255,1,,,,,
AutoKit_RS232,,oneBar,sRGB B gain,,1B,0,255,1,,,,,
AutoKit_RS232,,oneBar,User R gain,,1C,0,100,1,,,,,
AutoKit_RS232,,oneBar,User G gain,,1D,0,100,1,,,,,
AutoKit_RS232,,oneBar,User B gain,,1E,0,100,1,,,,,
AutoKit_GPIO,,Icon10,Gamma,,1F,1,Gamma enable,0,Gamma disable,,,,
AutoKit_RS232,,oneBar,VGA Phase,,20,0,100,1,,,,,
AutoKit_RS232,,oneBar,VGA CLK,,21,0,100,1,,,,,
AutoKit_RS232,,oneBar,VGA H position,,22,0,100,1,,,,,
AutoKit_RS232,,oneBar,VGA V position,,23,0,100,1,,,,,
AutoKit_GPIO,,Icon10,VGA auto adjustment,,24,1,auto adjustment,0,none auto adjustment,,,,
AutoKit_RS232,,oneBar,OSD Horizontal,,25,0,100,1,,,,,
AutoKit_RS232,,oneBar,OSD Vertical,,26,0,100,1,,,,,
AutoKit_RS232,,oneBar,OSD Transparency,,27,0,4,1,,,,,
AutoKit_RS232,,oneBar,OSD Timeout,,28,0,60,1,,,,,
AutoKit_RS232,,oneBar,Language,,29,0,7,1,,,,,
AutoKit_RS232,,oneBar,Display Size,,2A,0,3,1,,,,,
AutoKit_GPIO,,Icon10,Backlight status detection,,2B,1,system reset,0,no action,,,,
AutoKit_RS232,,oneBar,lux table1,,30,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table2,,31,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table3,,32,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table4,,33,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table5,,34,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table6,,35,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table7,,36,0,20000,1,,,,,
AutoKit_RS232,,oneBar,lux table8,,37,0,20000,1,,,,,
AutoKit_RS232,,oneBar,Firmware Version,,40,0,1000,1,,,,,
AutoKit_RS232,,oneBar,Firmware Year,,41,0,9999,1,,,,,
AutoKit_RS232,,oneBar,Firmware Month,,42,1,12,1,,,,,
AutoKit_RS232,,oneBar,Firmware Day,,43,1,31,1,,,,,
